station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
02878,"Lauchstädt,",19470401,20250616,51.3909,11.8786,20250616,17.8,20250616,14.1,20250616,22.6,20250616,67.29
02886,Laupheim,19700101,20250616,48.2175,9.9097,20250616,16.1,,,,,20250616,73.79
02905,Lechfeld,19690101,20250616,48.1849,10.8507,20250616,16.5,,,,,20250616,71.83
02907,Leck,19741101,20250616,54.7903,8.9514,20250616,15.8,20250616,13.3,20250616,19.5,20250616,82.13
02925,Leinefelde,19570101,20250616,51.3932,10.3123,20250616,15.9,20250616,11.2,20250616,20.8,20250616,72.92
02928,Leipzig-Holzhausen,18631201,20250616,51.3151,12.4462,20250616,17.6,20250616,12.0,20250616,22.5,20250616,69.21
02932,Leipzig/Halle,19340101,20250616,51.4347,12.2396,20250616,17.1,20250616,13.1,20250616,22.4,20250616,72.13
02947,Lennestadt-Theten,19620401,20250616,51.1333,8.0348,20250616,16.5,20250616,10.7,20250616,21.7,20250616,75.67
02951,Lenzen/Elbe,19941001,20250616,53.1007,11.4864,20250616,17.7,20250616,13.4,20250616,22.6,20250616,68.58
02953,Lenzkirch-Ruhbühl,19610101,20250616,47.8597,8.2308,20250616,14.1,20250616,8.6,20250616,19.6,20250616,79.29
02961,Leuchtturm,19980101,20250616,54.4996,10.2737,20250616,15.9,20250616,14.1,20250616,18.8,20250616,79.13
02985,Lichtenhain-Mittelndorf,19910101,20250616,50.9383,14.2094,20250616,15.4,20250616,11.6,20250616,19.0,20250616,80.83
03015,Lindenberg,19060401,20250616,52.2085,14.1180,20250616,17.6,20250616,13.7,20250616,22.3,20250616,71.63
03028,"Lippspringe,",19510101,20250616,51.7854,8.8388,20250616,16.4,20250616,10.8,20250616,21.8,20250616,76.71
03031,Lippstadt-Bökenförde,19801201,20250616,51.6336,8.3945,20250616,17.8,20250616,11.8,20250616,22.9,20250616,73.46
03032,List,19370101,20250616,55.0110,8.4125,20250616,15.0,20250616,13.6,20250616,18.0,20250616,83.04
03034,"Lobenstein,",19520301,20250616,50.4505,11.6350,20250616,15.5,20250616,8.3,20250616,20.4,20250616,72.25
03042,Löhnberg-Obershausen,19930701,20250616,50.5617,8.2386,20250616,16.9,20250616,10.3,20250616,23.2,20250616,71.42
03083,Lübben-Blumenfelde,19911001,20250616,51.9267,13.8797,20250616,17.9,20250616,12.4,20250616,24.1,20250616,70.79
03086,Lübeck-Blankensee,19850301,20250616,53.8025,10.6989,20250616,17.1,20250616,13.5,20250616,21.8,20250616,71.75
03093,Lüchow,19541201,20250616,52.9724,11.1374,20250616,17.3,20250616,11.8,20250616,21.6,20250616,72.75
03098,Lüdenscheid,19940101,20250616,51.2452,7.6425,20250616,16.2,20250616,9.9,20250616,21.0,20250616,74.54
03126,Magdeburg,18810101,20250616,52.1029,11.5827,20250616,17.8,20250616,13.1,20250616,23.9,20250616,71.33
03137,Mainz-Lerchenberg,19480101,20250616,49.9658,8.2049,20250616,18.7,20250616,13.6,20250616,23.6,20250616,64.00
03147,Mallersdorf-Pfaffenberg-Oberlindhart,19530101,20250616,48.7548,12.2118,20250616,17.8,20250616,13.2,20250616,23.0,20250616,73.92
