station_id,station_name,data_date,lat,lon,humidity,max_temperature,mean_temperature,min_temperature
04032,Quedlinburg,18.06.2025 13:20,51.7953,11.1320,35.4,26.9,26.7,14.5
04036,Querfurt-Mühle,18.06.2025 13:20,51.3895,11.5412,27.9,28.8,28.2,13.6
04039,Quickborn,18.06.2025 13:20,53.7331,9.8776,61.2,22.7,22.4,10.9
04063,Rahden-Kleinendorf,18.06.2025 13:20,52.4461,8.5906,43.7,26.3,26.3,12.3
04094,"Weingarten,",18.06.2025 13:20,47.8062,9.6206,42.8,27.1,27.1,10.7
04104,Regensburg,18.06.2025 13:20,49.0425,12.1019,37.9,28.4,27.1,11.1
04127,Reichshof-Eckenhagen,18.06.2025 13:20,50.9906,7.6958,47.8,24.5,24.5,12.7
04160,Renningen-Ihinger,18.06.2025 13:20,48.7425,8.9240,44.7,26.3,25.0,10.6
04169,Rheinau-Memprechtshofen,18.06.2025 13:20,48.6703,7.9939,44.6,28.7,28.7,12.8
04175,Rheinfelden,18.06.2025 13:20,47.5590,7.7721,44.9,27.9,27.9,12.4
04177,Rheinstetten,18.06.2025 13:20,48.9726,8.3301,37.4,28.7,28.5,12.5
04189,"Altheim,",18.06.2025 13:20,48.1479,9.4596,43.8,25.9,25.7,9.2
04271,Rostock-Warnemünde,18.06.2025 13:20,54.1803,12.0808,67.1,20.5,20.1,15.9
04275,Rotenburg,18.06.2025 13:20,53.1289,9.3398,53.9,24.7,23.4,11.6
04280,Roth,18.06.2025 13:20,49.2162,11.1035,30.1,29.0,29.0,10.5
04287,Rothenburg,18.06.2025 13:20,49.3849,10.1732,39.3,27.7,26.2,11.4
04300,Rottweil,18.06.2025 13:20,48.1815,8.6356,36.5,26.5,26.2,8.4
04301,"Kreuznach,",18.06.2025 13:20,49.8502,7.8710,34.1,29.5,29.5,14.3
04323,Ruppertsecken,18.06.2025 13:20,49.6468,7.8837,41.0,25.9,25.6,15.9
04336,Saarbrücken-Ensheim,18.06.2025 13:20,49.2128,7.1077,45.0,27.2,26.7,13.2
04349,Sachsenheim,18.06.2025 13:20,48.9569,9.0711,42.0,27.5,27.4,12.8
04354,Saldenburg-Entschenreuth,18.06.2025 13:20,48.7832,13.3146,48.1,26.1,26.1,11.0
04371,"Salzuflen,",18.06.2025 13:20,52.1042,8.7521,39.3,25.9,25.9,13.5
04377,Sandberg,18.06.2025 13:20,50.3518,10.0034,40.1,24.9,24.0,16.2
04393,Sankt,18.06.2025 13:30,54.3279,8.6031,69.7,20.3,19.7,15.0
